"Przyspieszenie (Ax, Ay)"
[-2.75022910e+21  7.32495585e+21]
[-8.20360142e+21  4.33850840e+21]
[-3.77506882e+20 -7.92213230e+21]
[ 2.21145169e+21 -1.63584342e+22]
[-1.33195127e+22 -6.98633248e+22]
[ 9.77061568e+20 -2.38927295e+21]
[-1.37397604e+22  1.61019097e+21]
[ 5.29429930e+22 -4.74296667e+21]
[9.76041747e+22 3.06956740e+23]
[3.58760082e+22 2.52321092e+22]
[8.21171677e+21 3.18133969e+21]
[2.01435120e+22 7.39554154e+21]
[-1.69629092e+22  1.50981616e+22]
[ 3.31352190e+22 -1.66010385e+22]
[-1.62070461e+22 -1.84609253e+20]
[-4.32382328e+21  2.51471410e+22]
[-4.59323222e+22 -3.45833523e+22]
[5.18901807e+21 2.16044745e+21]
[1.86230752e+22 5.21678391e+21]
[5.04227059e+21 1.79452012e+21]
[ 1.31960470e+22 -1.94583459e+21]
[-6.84310781e+22  2.72907880e+21]
[ 1.28003655e+22 -2.93567244e+21]
[-1.15181236e+22 -1.10818412e+22]
[-6.12736157e+21 -1.55442686e+22]
[-4.26136420e+21  1.42477157e+22]
[-5.33474285e+21  1.42543128e+21]
[2.66783223e+22 2.60479116e+21]
[-5.83098741e+21 -4.10397849e+21]
[-1.34050320e+22 -3.12149543e+21]
[-1.82735793e+22 -7.66899523e+20]
[2.55137042e+20 1.76221087e+22]
[ 1.42557117e+22 -1.44832576e+22]
[ 1.82696850e+22 -7.43307937e+21]
[ 3.98441939e+22 -4.24719432e+21]
[-1.37967459e+23 -2.55698305e+22]
[-6.16196596e+21 -8.40069720e+21]
[1.00926753e+23 7.25853288e+22]
[7.45278838e+20 8.50232166e+21]
[ 4.46254338e+22 -4.77593338e+22]
[ 1.04768111e+22 -1.35052479e+21]
[9.02144548e+20 9.97184500e+21]
[ 4.19337386e+21 -4.33464764e+21]
[-1.68126933e+22 -6.03460624e+21]
[-3.55232302e+22  1.07837101e+22]
[ 1.30370489e+22 -5.64234438e+21]
[ 5.57354485e+21 -4.04577486e+21]
[-2.99726079e+21 -1.44431299e+22]
[3.00456599e+22 1.42647815e+22]
[7.32676829e+21 3.23608779e+21]
[ 1.82898719e+23 -1.74978014e+23]
[-1.32353949e+21 -9.07139739e+21]
[-9.93150302e+19 -1.69239153e+22]
[ 4.25331356e+21 -4.17794541e+21]
[-5.01273982e+21 -4.12845808e+22]
[-8.34362061e+22  1.77541388e+22]
[ 9.57589982e+23 -7.10491386e+23]
[-1.05111751e+22  8.59476163e+20]
[1.96567958e+21 4.43904711e+21]
[-7.57215391e+21 -6.05781306e+21]
[-1.08778961e+22 -1.36836206e+22]
[-6.93603430e+21  8.96020872e+21]
[-1.24037945e+22 -6.68332537e+21]
[ 3.75246512e+21 -2.97312882e+21]
[9.79977848e+21 9.87999162e+20]
[-1.15964159e+22  2.07451500e+22]
[-4.97777724e+21 -1.27121971e+22]
[1.03120494e+22 1.08236182e+22]
[3.17232282e+22 1.86387662e+22]
[ 7.58208398e+22 -1.95070072e+22]
[ 5.86020078e+21 -8.00460066e+20]
[ 1.90272548e+21 -1.99024817e+22]
[ 8.02874512e+21 -3.58619691e+22]
[ 1.47976670e+22 -1.49202666e+22]
[ 1.65542499e+23 -1.98464925e+23]
[-6.65718041e+21 -1.18315419e+22]
[-3.83952633e+21  2.39873107e+21]
[ 1.65827787e+25 -4.35374624e+24]
[1.32696533e+22 4.41204387e+21]
[-3.63882680e+21 -1.07066407e+22]
[-1.40657284e+23 -3.38615378e+23]
[6.30658581e+21 7.28981299e+21]
[-6.80580974e+22 -7.61296003e+22]
[6.80020824e+22 2.20488255e+23]
[3.07751099e+22 3.36414987e+21]
[-4.27590989e+21 -1.34925685e+22]
[-9.12726716e+21  9.72485084e+20]
[-4.55369700e+22  2.09858877e+22]
[-1.99898215e+22  1.10852039e+22]
[-4.36137094e+22 -1.05994494e+23]
[1.24751832e+22 6.33416852e+20]
[-1.66072100e+22  5.40093902e+21]
[ 5.55741282e+21 -4.38170644e+21]
[-2.48036537e+22  1.03437760e+22]
[1.34866525e+23 3.48716724e+23]
[1.38159348e+21 2.57504723e+21]
[-3.41308073e+21 -1.42288484e+22]
[ 2.31098414e+22 -6.38156473e+21]
[-5.44060733e+22 -1.73196066e+22]
[5.54345873e+22 1.34533032e+21]
[-1.19433135e+22 -8.95280600e+21]
[-9.20895576e+21 -5.52520328e+21]
[ 1.09330599e+22 -4.51295808e+21]
[-1.05481256e+22 -1.20278066e+22]
[-1.06506553e+22  2.47385699e+20]
[1.14251826e+22 1.32526622e+21]
[-1.78305010e+21 -8.04166685e+20]
[ 5.70313492e+21 -3.87420998e+21]
[1.73624329e+22 1.40655670e+22]
[-5.28389108e+21 -1.42034413e+22]
[ 2.11540387e+22 -1.53024258e+22]
[-1.50594533e+22 -1.19145724e+22]
[ 4.36189469e+21 -2.87008334e+21]
[-5.83910057e+21 -2.14347481e+22]
[2.12532560e+22 9.26246683e+21]
[-1.25876042e+22 -8.04050361e+21]
[ 8.67462166e+21 -9.23990762e+21]
[-1.56977738e+22  8.87755066e+21]
[-2.68455035e+21 -4.96018518e+21]
[-6.88834442e+22  1.43030230e+22]
[-4.25598753e+22 -5.86364898e+22]
[-4.16844651e+21  1.05897798e+22]
[-1.86250498e+22 -1.12983398e+21]
[ 9.95569414e+21 -2.92144974e+21]
[ 2.67276540e+21 -9.51827855e+21]
[-6.52826797e+22 -2.70768690e+22]
[ 5.60670321e+22 -6.47169007e+20]
[3.56492296e+22 7.74728211e+21]
[ 1.43932090e+22 -4.77935669e+22]
[ 3.01613489e+21 -2.68701891e+22]
[-4.91412995e+21  1.56223050e+22]
[-1.75956323e+23  2.98592884e+23]
[1.26349441e+22 6.73408436e+21]
[1.11339961e+22 3.77975221e+21]
[-3.99464083e+22  1.93201987e+22]
[-1.42446338e+22  3.88952076e+22]
[-4.27926798e+22  2.28574383e+22]
[ 2.95204102e+22 -7.50923123e+21]
[-1.15401775e+22 -2.02759372e+21]
[1.47320128e+21 4.89371885e+20]
[-1.33910347e+22 -4.26989461e+22]
[-1.56585091e+22  1.27853257e+22]
[ 9.29364295e+21 -1.28467277e+22]
[ 5.58551963e+20 -1.32878472e+22]
[2.51892671e+21 8.00852871e+21]
[ 1.56745579e+22 -2.03398913e+21]
[-4.1960121e+21  9.3413213e+21]
[2.42764092e+22 1.68483627e+22]
[ 1.19262560e+21 -9.32359965e+21]
[-5.46301871e+20 -1.10518059e+22]
[-1.99573768e+23  5.44727293e+23]
[4.19352423e+21 3.93426844e+22]
[ 4.16999303e+21 -2.74748756e+21]
[1.61560728e+21 1.14234348e+21]
[1.68318478e+22 4.34338632e+21]
[2.55401624e+21 6.00233003e+21]
[1.30838631e+22 6.84559991e+21]
[-1.26688120e+23 -3.42248328e+22]
[-4.85479380e+22 -5.95738671e+22]
[7.22991475e+22 1.59157283e+23]
[ 2.68299117e+22 -3.09693851e+21]
[-2.94243719e+22 -8.32684348e+22]
[-7.06875325e+22 -1.76264713e+22]
[-7.28535043e+21 -3.09182867e+21]
[-5.67981244e+21  1.11359709e+22]
[-1.67304454e+22  8.18334546e+21]
[ 2.64022945e+22 -3.66370474e+22]
[1.45961655e+22 2.79914328e+22]
[ 1.12330710e+22 -2.31152059e+22]
[-4.28601305e+22  7.18118012e+22]
[1.54944313e+21 1.28376645e+22]
[8.51563338e+21 1.17962262e+22]
[4.83125453e+21 8.71263200e+21]
[-7.16304311e+21  3.42722356e+21]
[-9.32342102e+22  1.14085434e+23]
[-9.92819592e+21 -1.69469088e+22]
[-3.03635370e+22 -1.20414083e+22]
[-2.47801831e+22 -4.81336403e+21]
[-7.33238191e+21 -6.16352042e+21]
[-1.06493298e+20  4.38934839e+22]
[1.32456620e+22 1.00903516e+21]
[-5.45647866e+22  4.61263709e+22]
[-3.51105331e+22  1.11134220e+22]
[-3.11548492e+22 -1.79262372e+21]
[-3.06786613e+20  2.27393330e+22]
[ 1.31102787e+22 -2.97409793e+22]
[3.11273250e+22 2.25111837e+22]
[ 1.31176227e+22 -2.90890542e+21]
[ 1.27260545e+22 -3.60403253e+22]
[6.97847425e+22 4.17635904e+22]
[ 4.49465435e+21 -1.43777754e+22]
[-4.57635897e+21 -1.17166669e+22]
[2.45327418e+22 6.61515233e+21]
[-1.99147769e+21 -1.95819006e+22]
[-1.46667839e+22 -8.31228406e+20]
[1.2223098e+22 6.4105974e+22]
[-5.25593908e+20 -8.00800974e+21]
[3.08517088e+22 3.97938179e+22]
[ 5.20156569e+21 -3.57353040e+21]
[7.87268363e+21 1.05447982e+22]
[2.52401787e+21 5.22198520e+21]
[-3.42347497e+20  7.03736256e+21]
[-1.40711296e+22 -2.12130105e+22]
[-1.17048155e+21  5.21888014e+21]
[ 1.83191420e+22 -8.88325729e+22]
[-6.68706889e+22  6.46771844e+22]
[1.76975437e+22 4.50552322e+21]
[ 9.40780839e+21 -2.36017258e+22]
[1.37706679e+22 6.11845245e+21]
[-1.91099926e+23  6.44896294e+23]
[-3.01731177e+22  6.54833270e+22]
[ 8.33681549e+21 -4.30031860e+21]
[4.57438529e+21 2.67710231e+21]
[-1.31125803e+22  1.73740644e+22]
[1.07165717e+22 5.54853208e+21]
[-1.19219782e+22  9.06766402e+21]
[ 3.69700258e+21 -3.20287641e+21]
[ 3.57992861e+23 -1.55761083e+24]
[-1.22109877e+22  1.36173087e+22]
[ 5.08522584e+21 -1.62047268e+22]
[-7.28692477e+21 -7.85580578e+21]
[ 1.61080136e+22 -1.92212144e+22]
[ 4.16709822e+21 -1.33582269e+22]
[1.13307109e+21 1.86450564e+22]
[ 6.11859495e+21 -1.50940179e+22]
[2.16658688e+21 6.69721957e+21]
[6.24456045e+21 1.65465518e+22]
[-6.46311603e+21  5.85833523e+21]
[ 3.88346740e+22 -7.05573627e+22]
[4.53032649e+22 7.92572709e+21]
[-5.47777988e+22  1.40053673e+23]
[ 4.39647966e+21 -7.09890138e+21]
[8.22530754e+22 1.07836774e+22]
[-2.29817326e+21 -6.51056380e+22]
[1.92171217e+22 9.13237989e+20]
[1.23799827e+22 2.86701724e+22]
[7.71404250e+22 4.78526183e+22]
[-2.69482463e+20 -3.83533097e+21]
[ 4.73780967e+21 -3.84085363e+21]
[-7.53120380e+21 -2.14058017e+21]
[2.30109557e+21 1.70790665e+22]
[1.06531541e+21 1.99549110e+22]
[ 4.07484730e+22 -2.71196849e+22]
[-1.15225754e+22  1.30201690e+22]
[-2.03753956e+22  3.67239961e+21]
[ 1.00536893e+22 -1.75702207e+22]
[-3.87707694e+22  2.35447915e+22]
[-4.20105259e+21 -5.24648575e+21]
[-1.64288998e+23 -2.86663752e+23]
[ 6.71534013e+22 -4.46508404e+22]
[-1.90583625e+21  4.92526563e+21]
[1.01777885e+22 1.01497283e+22]
[ 1.86564409e+21 -3.66652736e+22]
[2.71928663e+21 5.40311977e+22]
[-3.01473669e+22 -8.36294632e+21]
[ 1.47156614e+22 -1.86482900e+22]
[ 2.50290041e+21 -2.64002484e+21]
[-2.04430092e+21  1.09144407e+22]
[-1.00898272e+23 -3.11921224e+23]
[-4.62593799e+21  2.50430367e+22]
[-1.35987597e+22  1.13914694e+22]
[-3.09158830e+22  2.28745425e+22]
[-1.09755987e+22 -1.63113288e+22]
[-1.97601656e+22 -1.01509485e+21]
[-7.15970933e+20  7.48890622e+21]
[-1.29791921e+22 -2.97904830e+22]
[-3.82151874e+21 -6.17868127e+21]
[ 1.76450611e+22 -1.48467486e+22]
[-6.16881176e+21  1.44436968e+21]
[-2.10855475e+22  3.78174449e+21]
[-7.81894766e+21 -1.78660801e+22]
[-3.42411411e+22  1.95992584e+22]
[-5.42935386e+21  5.30623483e+21]
[ 8.06046889e+21 -2.90838200e+21]
[ 1.86790517e+21 -2.50929283e+22]
[1.45559076e+21 3.14588305e+21]
[-2.03144366e+20 -9.72445046e+20]
[ 5.52660177e+22 -2.39892380e+22]
[-8.80392252e+20 -1.13034768e+22]
[-5.67670845e+21 -1.22384689e+22]
[1.23881858e+22 1.36804722e+22]
[ 3.64479452e+22 -2.66640971e+22]
[ 6.04709624e+22 -2.35869618e+20]
[ 2.08712044e+22 -1.90285569e+21]
[-2.89017274e+22 -2.84820071e+22]
[-2.59056906e+21 -2.20864802e+22]
[3.38386747e+21 4.97231089e+21]
[-1.56537692e+22  2.33188356e+22]
[-1.71100654e+24  1.32514624e+23]
[-6.76104741e+21  8.15752156e+21]
[ 1.74860564e+21 -9.29743045e+21]
[ 3.24564485e+22 -7.63349261e+22]
[-2.44397267e+22 -2.01074273e+22]
[ 4.06763972e+22 -5.69934576e+21]
[ 2.43065701e+21 -1.87700547e+22]
[-3.74528263e+21  6.02427827e+21]
[-6.71758220e+21 -2.51007857e+20]
[-9.21437096e+21  2.63704044e+21]
[-5.84719419e+22  1.21837983e+22]
[ 3.00082238e+22 -3.91509227e+22]
[ 4.81355156e+20 -6.39124111e+21]
[2.42151042e+22 7.83227881e+21]
[-3.89313565e+21 -1.24410211e+22]
[ 7.80255828e+22 -9.19313022e+22]
[-3.16179574e+22 -5.24152114e+21]
[-1.57678779e+22  4.90121095e+21]
[-4.86172544e+21 -1.12113485e+21]
[ 8.25777857e+22 -1.34648186e+22]
[-8.58754674e+21 -1.91402159e+22]
[ 3.73666740e+21 -3.88042158e+21]
[-8.75489594e+22  9.54048158e+22]
[ 1.01740442e+22 -7.19652116e+21]
[-6.01607674e+22 -6.55557213e+21]
[-4.92869498e+23  1.39782123e+24]
[ 2.16266989e+22 -3.61251411e+21]
[ 1.74806674e+22 -6.01105786e+22]
[ 3.93821124e+21 -1.65488019e+22]
[-2.21884802e+21  2.58657617e+22]
[-8.37942095e+22 -4.15480310e+22]
[-2.75003808e+21  3.00642395e+21]
[-4.48051190e+20 -3.65673969e+22]
[ 1.03593662e+21 -2.40473154e+22]
[-1.56260320e+22 -9.28597282e+21]
[4.31974400e+22 2.25666051e+22]
[-2.40782204e+22 -5.34929234e+21]
[8.01450976e+21 8.61204472e+21]
[-7.81247010e+20 -7.11663357e+21]
[-2.89852435e+22 -8.39909381e+21]
[ 4.16284470e+21 -7.71417301e+21]
[1.03775418e+22 2.11859230e+21]
[ 1.89003263e+21 -5.07238296e+21]
[-6.93524388e+22 -1.66961705e+22]
[-3.27106776e+21  4.07571947e+21]
[1.92076295e+21 2.43899193e+22]
[-2.52251271e+21  1.85604876e+21]
[-1.53293474e+22  1.74875516e+22]
[-2.04758839e+21 -1.89808271e+22]
[-2.87883461e+20  2.20182817e+21]
[9.45916217e+21 6.44284728e+20]
[ 2.07015005e+22 -3.79275218e+22]
[ 3.54527137e+22 -2.32552327e+22]
[-1.88079320e+22 -2.26211271e+21]
[-8.80281733e+21  1.27606926e+19]
[2.21318087e+22 1.32496779e+22]
[1.20984745e+22 3.50573147e+22]
[-1.41532758e+22 -1.19608119e+22]
[7.10993255e+22 6.08911229e+20]
[1.51577442e+22 2.99287845e+22]
[5.12314826e+21 5.96433135e+21]
[2.24517755e+22 1.57500017e+22]
[ 8.09605818e+21 -1.00867126e+22]
[1.60608878e+22 8.27710381e+21]
[-1.14745723e+22 -1.34664793e+22]
[-1.53565200e+22  1.33030306e+22]
[1.23598064e+22 1.05168396e+22]
[ 1.52854884e+22 -1.53740079e+22]
[2.16973973e+22 1.06398293e+22]
[-1.42057393e+22  2.18700550e+22]
[ 5.61274734e+21 -1.70095671e+22]
[7.63387053e+21 3.30052893e+21]
[3.21948065e+21 6.99506468e+21]
[1.60741005e+22 3.52017009e+21]
