0
[8.54501391e+21 6.33040886e+21]
[7.15844375e+20 1.55930150e+22]
[-6.90375281e+22 -4.41388821e+22]
[ 1.49273976e+22 -2.69261821e+22]
[ 3.20345317e+21 -1.04651879e+21]
[3.68447054e+22 5.79030312e+22]
[-1.94003916e+22  1.07533738e+22]
[-4.38238649e+22 -1.00626603e+23]
[-1.21827646e+22 -5.38668083e+21]
[3.62109127e+22 4.05498637e+22]
[-5.79558523e+21 -3.89948082e+21]
[-1.36184952e+21  8.85868610e+21]
[ 3.36302635e+23 -2.96770807e+23]
[-6.42034809e+21 -3.67299796e+23]
[ 1.07481116e+22 -7.14266628e+21]
[-7.43358326e+21  1.50071367e+22]
[ 1.80111694e+22 -9.25453727e+22]
[-4.00815791e+21 -3.23020280e+22]
[-5.73345192e+19  3.50646178e+21]
[3.99266907e+19 4.10811772e+21]
[1.35595209e+23 4.30734434e+22]
[ 1.30023052e+22 -2.89591759e+21]
[ 5.43130116e+22 -2.12831317e+22]
[-1.35121595e+22  7.35351670e+21]
[-1.25436415e+22  9.32782775e+21]
[-1.53078471e+23 -1.61699403e+23]
[ 1.74197591e+23 -2.98479007e+22]
[ 7.24502215e+21 -2.76732866e+22]
[7.83260213e+21 1.99762148e+22]
[ 1.04959495e+22 -5.36410450e+21]
[ 9.19484226e+21 -1.87178898e+21]
[ 4.59934178e+22 -2.82766888e+22]
[-1.35169408e+22 -1.39746035e+22]
[-1.31734814e+22  3.37834618e+22]
[-1.43611613e+20 -1.19800361e+22]
[-8.15222673e+21  6.41190035e+21]
[ 7.92404950e+21 -6.08459461e+21]
[ 9.58729518e+21 -6.74987529e+21]
[-1.76532775e+21  8.45130239e+20]
[1.24026420e+22 3.95171424e+21]
[1.08053671e+22 1.54585329e+22]
[4.88590969e+21 1.45529034e+21]
[-1.25576441e+21  1.16344049e+22]
[-2.27765160e+22 -1.18915412e+21]
[ 9.78481504e+21 -1.49237038e+21]
[4.42569961e+20 1.10918276e+22]
[2.21678122e+22 8.39951327e+20]
[-1.91887366e+22 -6.59107459e+21]
[-2.83860252e+21 -2.29518625e+22]
[2.54157011e+22 1.60224766e+22]
[-8.78010485e+21 -1.16697385e+22]
[-9.70264896e+21  2.71392684e+22]
[-5.25083370e+22  5.85670765e+22]
[-2.37917902e+22  1.16517863e+22]
[ 2.18061908e+22 -3.07636192e+22]
[ 9.98088763e+21 -1.38142643e+22]
[ 1.61204922e+24 -7.28476520e+23]
[ 1.12738956e+22 -1.53366510e+21]
[-2.42413431e+22  1.64745959e+21]
[1.11199124e+22 5.55503198e+20]
[ 1.19729845e+23 -1.48345280e+23]
[ 2.68542559e+22 -5.52228850e+21]
[4.90311080e+20 3.87927249e+21]
[-1.06279202e+22 -1.97010128e+21]
[-2.88186285e+20 -1.10921372e+22]
[ 9.67382790e+21 -4.84626491e+22]
[-8.08249831e+21  6.08087047e+21]
[ 1.46513847e+21 -5.59224555e+21]
[-4.28544463e+20  8.76682368e+21]
[ 2.55962358e+21 -3.57998861e+21]
[ 2.58194560e+22 -3.59478004e+22]
[-1.18887168e+22  3.29141579e+21]
[-9.71619384e+21 -4.60195090e+21]
[-3.78984240e+21  1.62810408e+22]
[ 2.35088903e+21 -3.71691345e+21]
[-2.37479586e+21 -1.27849782e+22]
[-3.48333203e+21  4.47522680e+20]
[ 1.33457895e+22 -7.47620856e+21]
[3.73443333e+21 3.48283763e+20]
[-8.94973963e+21  4.15461193e+21]
[-1.73177741e+22  5.27901675e+21]
[-1.56002367e+22 -7.07754307e+21]
[-4.42435584e+22 -8.35274004e+22]
[-1.76111094e+22 -1.98472052e+22]
[ 1.11927055e+22 -1.39472242e+22]
[-8.1305542e+22  8.0171176e+21]
[-6.73559794e+22 -1.18405937e+21]
[-1.33452976e+22 -1.19793423e+22]
[ 4.65267342e+21 -3.35400550e+21]
[2.08219832e+22 3.06933982e+22]
[-7.69117355e+21  2.54630867e+22]
[ 1.98479220e+21 -4.23024612e+21]
[-7.16387457e+20 -3.38665180e+21]
[-1.29165741e+22  8.10730546e+21]
[-1.63314529e+21  2.47444200e+22]
[-8.51897198e+21  2.38592490e+22]
[-1.41325433e+21  2.35720278e+21]
[-9.85756127e+21 -2.50243189e+21]
[-1.16248999e+22 -3.07777460e+20]
[-6.21892385e+21  1.56288841e+22]
[-6.45420643e+21  4.25388444e+21]
[-1.37191884e+22 -6.51110160e+21]
[-1.42464508e+22 -5.92229550e+21]
[8.22969628e+21 5.00259465e+22]
[-1.20554836e+23 -1.64444671e+22]
[ 8.70494419e+21 -1.20828046e+22]
[-5.77566244e+19  9.58947382e+21]
[-1.05502470e+22  5.22015543e+21]
[9.07364120e+21 8.35380032e+22]
[-1.34427632e+23  3.69274408e+22]
[ 3.21558945e+22 -5.63876908e+21]
[-1.45119667e+22 -3.36679602e+19]
[-4.48817305e+21 -1.57118149e+22]
[ 8.4624391e+21 -5.7873254e+21]
[-3.26534008e+21  6.32607192e+21]
[-2.56356626e+20  8.19533052e+21]
[6.24459258e+20 5.65860887e+21]
[7.30746004e+21 1.41231214e+22]
[ 1.05414119e+22 -5.30573170e+21]
[2.28735964e+21 3.12054906e+21]
[-7.75813252e+21 -1.81758492e+22]
[ 3.88918075e+21 -2.84593974e+21]
[5.06418585e+21 1.28251330e+22]
[1.07669419e+23 2.51978310e+23]
[-8.05385285e+20  1.13746513e+22]
[ 1.74314415e+22 -2.64579810e+21]
[-2.52340293e+22  8.38639819e+20]
[ 5.84054633e+21 -3.43701053e+21]
[ 3.08147607e+22 -1.79103186e+23]
[4.32374189e+20 2.39064048e+21]
[ 3.20850252e+23 -1.74054754e+23]
[-4.82784308e+22 -3.02232961e+23]
[2.81354786e+20 4.37285657e+21]
[-9.44665249e+21  2.76250444e+21]
[-7.74944793e+21  2.67908664e+21]
[ 7.36432219e+21 -1.50441658e+22]
[3.44626518e+21 2.10898773e+20]
[-4.30622859e+21 -1.34573473e+22]
[5.10150987e+23 2.21030147e+23]
[-9.67589774e+21  4.71448909e+21]
[ 3.31897958e+21 -4.04625872e+21]
[3.13303462e+21 1.19697659e+22]
[-4.18500895e+21 -8.60075003e+21]
[3.24904580e+22 6.07642334e+21]
[ 1.44723285e+22 -1.32597301e+21]
[-4.76094380e+21  1.39565465e+22]
[-4.39015585e+21  1.09476336e+22]
[-5.39611377e+21 -9.96028040e+21]
[ 9.94482091e+21 -5.64589307e+21]
[2.38112621e+22 1.73111480e+22]
[ 3.65533675e+21 -1.98800667e+22]
[1.30978428e+22 5.33175416e+21]
[-6.85698578e+20 -1.37515058e+22]
[1.22699774e+21 1.00189861e+22]
[-6.22412342e+19 -1.15669157e+22]
[2.19229407e+22 5.13215658e+22]
[-3.20962195e+21 -5.96082339e+21]
[7.24949982e+21 3.50676063e+21]
[ 2.89371741e+22 -2.69258085e+22]
[-1.16520355e+21  3.05186245e+21]
[-2.58298452e+20 -1.87226072e+22]
[1.13293256e+21 2.29260128e+22]
[ 3.41278061e+21 -1.48818260e+22]
[-1.30209220e+22 -8.64574353e+21]
[3.93568413e+21 7.06326191e+21]
[-2.19604751e+21 -4.17557913e+21]
[-2.32908127e+22  1.78375476e+22]
[2.86893383e+21 1.54973674e+22]
[-1.50054368e+22  6.73439953e+20]
[ 2.94662294e+20 -2.51980593e+21]
[-1.39582113e+22  6.60612093e+21]
[-1.74793671e+22  1.16616308e+22]
[ 6.34582559e+21 -6.00979869e+21]
[ 2.98603091e+22 -3.57677731e+21]
[ 3.21703230e+21 -1.42259362e+22]
[5.17411465e+21 7.38076666e+21]
[1.90540752e+22 6.36744750e+21]
[-1.53698616e+22 -1.56993284e+22]
[ 3.77503306e+21 -2.84891237e+21]
[1.12955545e+22 7.79582582e+21]
[ 2.20015353e+22 -2.14981639e+22]
[6.43757696e+21 2.52613087e+20]
[3.05632917e+24 2.82456506e+24]
[1.51342684e+21 2.96162066e+21]
[-3.92781006e+22  6.15966208e+22]
[-2.29259032e+23 -1.49175210e+24]
[-1.07163416e+22 -1.65235142e+21]
[7.17852752e+21 6.66898514e+21]
[-1.03204315e+22 -2.79487934e+21]
[-2.53032478e+22  1.31524298e+22]
[2.50432512e+22 6.29982515e+22]
[ 1.11782770e+22 -2.83266263e+22]
[-7.44650178e+21  7.20244490e+21]
