0
[-1.90390186e+20 -1.58556918e+21]
[ 1.49788019e+23 -1.24330432e+23]
[ 7.08460277e+21 -5.68746206e+21]
[ 7.22772641e+21 -1.66161389e+22]
[ 9.74992027e+20 -9.34304258e+21]
[ 4.91225290e+21 -1.39957293e+21]
[-5.65853446e+20  6.51012495e+21]
[-5.75813321e+21  1.04157120e+22]
[ 2.77192235e+21 -2.62176268e+21]
[-9.34833725e+22 -2.30705165e+22]
[1.22747934e+22 1.93344656e+21]
[ 2.27174451e+21 -2.28172624e+21]
[2.63026942e+23 3.72242776e+22]
[5.17100576e+21 5.79076245e+21]
[-2.15425931e+21 -3.17812246e+21]
[-5.12408900e+22  7.10646301e+21]
[ 3.55717540e+21 -6.59006705e+20]
[-1.91006938e+22 -3.99178182e+22]
[ 5.64008066e+21 -7.28979003e+21]
[ 1.12802925e+22 -1.00644066e+22]
[-9.36503434e+21  2.06679792e+22]
[4.43271943e+21 4.56833590e+21]
[2.69969098e+21 1.64973397e+21]
[-2.85944128e+23 -3.20284145e+23]
[ 1.11965563e+22 -4.67809669e+21]
[ 3.27593237e+22 -3.47074246e+21]
[3.77903452e+21 3.70403829e+21]
[-2.11637555e+21  8.08037364e+21]
[ 3.58018184e+21 -2.15228621e+20]
[5.84195595e+21 6.89353373e+21]
[-2.76081657e+21  1.01867564e+22]
[-6.42355792e+21  1.77032402e+22]
[ 1.63733085e+22 -1.60429090e+22]
[-1.60005566e+22  3.01673913e+21]
[-1.89206411e+21 -3.15189347e+22]
[ 7.10731894e+20 -2.89679816e+21]
[ 3.57833265e+21 -8.61478771e+21]
[ 6.19934760e+21 -1.06371224e+21]
[4.13259290e+23 7.80925705e+22]
[-3.70952076e+21  6.28449606e+21]
[2.96114920e+21 1.07072497e+22]
[-6.77472247e+21 -1.63193561e+22]
[-2.66726749e+21  1.00425328e+21]
[1.57343195e+22 6.93033366e+22]
[6.01247677e+21 1.03040456e+22]
[ 3.75957960e+22 -2.62217322e+22]
[-9.84700273e+21  2.52850743e+21]
[-1.65035381e+23 -1.27806643e+23]
[3.83487005e+21 1.26918479e+22]
[-2.97228626e+22 -2.49330524e+21]
[ 2.19114584e+23 -2.82725127e+22]
[-8.73918162e+18 -2.62042331e+21]
[-1.36078935e+22  8.32787409e+21]
[-3.53228515e+21  1.32119217e+21]
[1.39150730e+21 3.05006894e+21]
[-7.23754990e+21 -5.65575076e+20]
[2.45035756e+21 4.49273572e+22]
[-3.51214735e+21 -2.77341487e+21]
[8.52336111e+21 6.82727310e+20]
[-3.06929873e+21 -2.98274281e+21]
[7.28834323e+21 1.89304009e+22]
[-4.49055805e+20  3.63648876e+21]
[1.71409566e+22 7.36977823e+21]
[-4.97946852e+22  1.79153716e+23]
[5.43792807e+21 5.17588189e+21]
[ 7.96669186e+20 -5.99976622e+20]
[ 1.60502198e+21 -1.35645606e+21]
[-1.77698828e+21  1.24434166e+22]
[-7.97378774e+21  7.46600705e+21]
[-1.00080292e+22  7.69262430e+20]
[2.97039302e+21 3.95020136e+21]
[4.50012461e+21 8.16413470e+21]
[2.32140997e+21 6.08037821e+21]
[-3.68077833e+21  5.71645587e+21]
[-1.38108941e+22 -1.36049699e+22]
[1.35984286e+21 1.16423127e+22]
[-3.49858701e+21 -3.01653274e+21]
[1.78689663e+21 2.57472519e+21]
[-1.13848766e+22  3.66650219e+21]
[2.67346375e+21 9.44418146e+21]
[1.41294593e+22 8.68352674e+21]
[ 1.68304500e+21 -1.13965708e+22]
[-4.25221975e+21  8.94319480e+21]
[-5.89216810e+21  9.11060593e+21]
[ 1.41756948e+21 -1.84805764e+21]
[1.97703388e+22 5.35271033e+20]
