position,mass,velocity
[ 4.75775949e+32 -3.54686449e+33],1e+30,[ 4.83021268e+25 -3.60087765e+26]
[ 1.39720771e+33 -4.24841630e+32],1e+30,[ 1.41848498e+26 -4.31311300e+25]
[-1.27398511e+34 -9.65128313e+33],1e+30,[-1.29338589e+27 -9.79825698e+26]
[-7.11546216e+31  7.04797422e+33],1e+30,[-7.22381946e+24  7.15530378e+26]
[-4.74707858e+32  5.57691079e+33],1e+30,[-4.81936911e+25  5.66183837e+26]
[8.37430416e+32 2.64483410e+33],1e+30,[8.50183164e+25 2.68511076e+26]
[-5.88032516e+33  1.48467931e+33],1e+30,[-5.96987326e+26  1.50728863e+26]
[-4.46295522e+32  3.34206820e+33],1e+30,[-4.53091901e+25  3.39296264e+26]
[-1.73821007e+33  2.49123231e+33],1e+30,[-1.76468027e+26  2.52916986e+26]
[-3.03777157e+32 -1.22135972e+33],1e+30,[-3.08403205e+25 -1.23995911e+26]
[6.92768390e+32 4.65243281e+33],1e+30,[7.03318163e+25 4.72328204e+26]
[1.55414299e+34 6.55819098e+33],1e+30,[1.57781014e+27 6.65806191e+26]
[4.50203225e+33 5.51625194e+33],1e+30,[4.57059112e+26 5.60025577e+26]
[-4.48348966e+33 -1.88549682e+33],1e+30,[-4.55176615e+26 -1.91420997e+26]
[1.00642635e+33 3.17588294e+34],1e+30,[1.02175264e+26 3.22424664e+27]
[-4.22365773e+33  2.76278363e+33],1e+30,[-4.28797739e+26  2.80485648e+26]
[-1.69734865e+34  1.41571920e+34],1e+30,[-1.72319660e+27  1.43727838e+27]
[4.41797528e+32 1.10611736e+31],1e+30,[4.48525409e+25 1.12296179e+24]
[-4.00171461e+33  7.69981187e+32],1e+30,[-4.06265443e+26  7.81706789e+25]
[7.87107706e+32 1.39633585e+32],1e+30,[7.99094117e+25 1.41759985e+25]
[3.16839808e+33 1.07314583e+32],1e+30,[3.21664779e+26 1.08948816e+25]
[-1.52360220e+34 -1.01602811e+34],1e+30,[-1.54680427e+27 -1.03150062e+27]
[-2.52804812e+34 -4.82792847e+34],1e+30,[-2.56654631e+27 -4.90145022e+27]
[-7.11703964e+31 -4.01776596e+33],1e+30,[-7.22542095e+24 -4.07895021e+26]
[2.29798061e+34 3.79396950e+34],1e+30,[2.33297524e+27 3.85174568e+27]
[-1.93931108e+33  4.45052530e+33],1e+30,[-1.96884374e+26  4.51829980e+26]
[1.64857014e+33 3.53000556e+32],1e+30,[1.67367527e+26 3.58376199e+25]
[ 2.07519483e+33 -1.79575242e+33],1e+30,[ 2.10679678e+26 -1.82309890e+26]
[ 4.19944507e+33 -6.87308427e+33],1e+30,[ 4.26339601e+26 -6.97775053e+26]
[-5.96177458e+33  4.23385140e+33],1e+30,[-6.05256303e+26  4.29832630e+26]
[-1.27649887e+33  2.09508674e+32],1e+30,[-1.29593794e+26  2.12699162e+25]
[-1.10370631e+33  2.86894689e+33],1e+30,[-1.12051402e+26  2.91263643e+26]
[ 1.46600583e+33 -1.47024580e+33],1e+30,[ 1.48833079e+26 -1.49263533e+26]
[ 1.05366828e+33 -3.65312887e+33],1e+30,[ 1.06971399e+26 -3.70876028e+26]
[-4.56252035e+33  1.12203185e+34],1e+30,[-4.63200036e+26  1.13911863e+27]
[-1.33480666e+33 -7.23627920e+33],1e+30,[-1.35513367e+26 -7.34647634e+26]
[-3.16430025e+34  7.64359326e+34],1e+30,[-3.21248757e+27  7.75999316e+27]
[ 1.90742965e+33 -1.29118111e+34],1e+30,[ 1.93647680e+26 -1.31084377e+27]
[-1.65275838e+33 -5.51523283e+33],1e+30,[-1.67792729e+26 -5.59922115e+26]
[1.56128014e+35 1.71630509e+35],1e+30,[1.58505598e+28 1.74244171e+28]
[-1.10348553e+33 -4.62198337e+33],1e+30,[-1.12028988e+26 -4.69236890e+26]
[ 4.40971663e+32 -1.18266315e+33],1e+30,[ 4.47686967e+25 -1.20067325e+26]
[-1.81626642e+34  1.86724406e+33],1e+30,[-1.84392530e+27  1.89567925e+26]
[ 3.06265852e+33 -3.24996345e+33],1e+30,[ 3.10929799e+26 -3.29945528e+26]
[ 7.43432460e+32 -6.96318621e+33],1e+30,[ 7.54753766e+25 -7.06922458e+26]
[ 4.26474796e+34 -2.23139648e+34],1e+30,[ 4.32969336e+27 -2.26537714e+27]
[-8.89351076e+32  1.61033127e+33],1e+30,[-9.02894493e+25  1.63485408e+26]
[8.79979151e+32 4.78641352e+33],1e+30,[8.93379848e+25 4.85930306e+26]
[ 1.92946018e+35 -9.19756477e+34],1e+30,[ 1.95884282e+28 -9.33762921e+27]
[-3.01139467e+33  2.74244591e+33],1e+30,[-3.05725348e+26  2.78420904e+26]
[1.26229789e+33 2.41399731e+33],1e+30,[1.28152070e+26 2.45075869e+26]
[ 7.68370697e+31 -3.96787758e+33],1e+30,[ 7.80071774e+24 -4.02830211e+26]
[-5.1146379e+34  7.8084888e+34],1e+30,[-5.19252578e+27  7.92739980e+27]
[ 6.12614330e+33 -4.27862615e+33],1e+30,[ 6.21943482e+26 -4.34378290e+26]
[ 8.58256624e+31 -3.58317436e+33],1e+30,[ 8.71326521e+24 -3.63774047e+26]
[-3.62176483e+33 -3.13758232e+33],1e+30,[-3.67691861e+26 -3.18536276e+26]
[-1.75234985e+32  1.49925422e+32],1e+30,[-1.77903538e+25  1.52208551e+25]
[1.02039915e+33 1.21229378e+33],1e+30,[1.03593822e+26 1.23075510e+26]
[8.01879622e+33 2.91819783e+33],1e+30,[8.14090987e+26 2.96263739e+26]
[ 2.63146898e+33 -9.56692187e+32],1e+30,[ 2.67154211e+26 -9.71261104e+25]
[-5.16100912e+33 -2.60574733e+32],1e+30,[-5.23960317e+26 -2.64542877e+25]
[ 1.26781626e+33 -8.27612936e+32],1e+30,[ 1.28712310e+26 -8.40216179e+25]
[ 2.31043138e+33 -6.33262844e+32],1e+30,[ 2.34561562e+26 -6.42906440e+25]
[-2.24889766e+33 -1.44868163e+33],1e+30,[-2.28314483e+26 -1.47074277e+26]
[-2.23352601e+33 -1.35813199e+33],1e+30,[-2.2675391e+26 -1.3788142e+26]
[ 1.00329361e+34 -9.13822813e+33],1e+30,[ 1.01857219e+27 -9.27738896e+26]
[-2.63211402e+33 -1.89490368e+33],1e+30,[-2.67219697e+26 -1.92376008e+26]
[-4.19096979e+33 -7.87244992e+33],1e+30,[-4.25479167e+26 -7.99233495e+26]
[-2.59927071e+33  1.28447234e+33],1e+30,[-2.63885351e+26  1.30403283e+26]
[ 2.33067491e+32 -5.98852743e+32],1e+30,[ 2.36616742e+25 -6.07972328e+25]
[4.06836256e+33 1.19054979e+34],1e+30,[4.13031732e+26 1.20867999e+27]
[-4.13231163e+34  1.72286335e+34],1e+30,[-4.19524023e+27  1.74909985e+27]
[-1.14154651e+33  1.64759312e+33],1e+30,[-1.15893046e+26  1.67268337e+26]
[ 1.98989848e+34 -9.01533136e+33],1e+30,[ 2.02020150e+27 -9.15262067e+26]
[-1.95721600e+33  3.36878923e+33],1e+30,[-1.98702132e+26  3.42009058e+26]
[-2.97512442e+33 -1.39749935e+33],1e+30,[-3.02043088e+26 -1.41878106e+26]
[-2.26571251e+33 -3.28403866e+33],1e+30,[-2.30021574e+26 -3.33404940e+26]
[1.51866147e+33 1.37190633e+33],1e+30,[1.54178829e+26 1.39279830e+26]
[3.29336775e+33 1.33179581e+33],1e+30,[3.34352056e+26 1.35207697e+26]
[-3.03801406e+33  1.59423129e+33],1e+30,[-3.08427824e+26  1.61850892e+26]
[ 2.35405981e+32 -2.38426941e+33],1e+30,[ 2.38990844e+25 -2.42057808e+26]
[-2.60666661e+32 -8.29554889e+32],1e+30,[-2.64636204e+25 -8.42187705e+25]
[1.35090933e+33 6.89619434e+33],1e+30,[1.37148156e+26 7.00121253e+26]
[2.11004317e+32 3.91808833e+33],1e+30,[2.14217581e+25 3.97775465e+26]
[-1.25866965e+33  1.03367161e+33],1e+30,[-1.27783721e+26  1.04941280e+26]
